Qual é a sua relação com a Univesp?,Qual o seu nível de familiaridade com o uso de bibliotecas digitais?,Para quais finalidades você usaria uma biblioteca digital?," Você já teve dificuldades para acessar materiais acadêmicos? Se sim, quais?",Qual tipo de material você mais busca?,Quais recursos você considera essenciais em uma biblioteca digital?,Como você prefere acessar conteúdos em uma biblioteca digital?,Você acredita que um sistema de recomendação (sugestões personalizadas de leitura) seria útil?,"Você considera importante que a biblioteca digital tenha uma área de interação entre os usuários (ex.: fóruns de discussão, resenhas e recomendações)?",Você teria interesse em contribuir com materiais acadêmicos para a biblioteca digital?,"Em sua opinião, quais desafios podem surgir na implementação de uma biblioteca digital?",Você estaria disposto a testar a biblioteca digital e dar feedback sobre sua usabilidade?,Você utiliza livros físicos no seu dia a dia?,Quantos livros físicos você possui?,Você cataloga seus livros de alguma forma?,"Se você utiliza um sistema de catalogação, qual tipo de ferramenta você usa atualmente?",Você gostaria de receber orientação ou treinamento sobre como melhorar o processo de catalogação?, Você acha que a catalogação dos livros ajudaria a melhorar a gestão do acervo?,"Se você estiver respondendo por uma instituição, quantos livros físicos estão disponíveis na biblioteca atualmente?",A instituição possui um sistema de catalogação de livros?,Qual a importância da catalogação dos livros para a sua instituição ou projeto?,Qual a importância da catalogação dos livros para a sua instituição ou projeto?
Aluno,Utilizo ocasionalmente sem dificuldades,"Estudo individual, Ensino e planejamento de aulas, Desenvolvimento profissional",Materiais restritos (acesso pago),"Livros digitais (e-books), Livros físicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Todos,Sim,Sim,Não,"Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade, Dificuldade para catalogação de mídia impressa",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Aluno,Utilizo ocasionalmente sem dificuldades,Estudo individual,"Problemas técnicos (lento, incompatível com dispositivos)","Livros digitais (e-books), Livros físicos","Acesso gratuito, Opção de download em diferentes formatos (PDF, EPUB, etc.)",Download para leitura offline,Não,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Mais de 200,Sim,Plataforma web Skoob,Talvez,Sim,,,4,
Nenhum,Utilizo ocasionalmente sem dificuldades,Estudo individual,Nunca tive dificuldades,"Livros digitais (e-books), Artigos científicos, Teses e dissertações, Apostilas e materiais didáticos, Legislações","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações, Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste), Informações sobre disponibilidade de versão impressa",Todos,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Sim,Entre 100 e 200,Não,Não utilizo nenhum sistema específico,Não,Sim,,,1,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades",Desenvolvimento profissional,Falta de uma plataforma centralizada,Livros digitais (e-books),Acesso gratuito,Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto",Dificuldade na manutenção da plataforma,Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,,,5,
Nenhum,Utilizo ocasionalmente sem dificuldades,Estudo individual,Nunca tive dificuldades,Livros digitais (e-books),"Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Área personalizada para salvar favoritos e anotações",Todos,Sim,Sim,Não,"Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,4,
Nenhum,"Já utilizei algumas vezes, mas com dificuldades","Estudo individual, Pesquisa acadêmica, Desenvolvimento profissional",Materiais restritos (acesso pago),"Livros digitais (e-books), Artigos científicos, Apostilas e materiais didáticos","Acesso gratuito, Ferramenta de busca avançada, Integração com ferramentas externas (Google Drive, OneDrive)",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais, Dificuldade de navegação e usabilidade",Sim,Não,Menos de 50,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,1,Meu acervo é pessoal 
Nenhum,Utilizo ocasionalmente sem dificuldades,Pesquisa acadêmica,Nunca tive dificuldades,"Artigos científicos, Teses e dissertações","Acesso gratuito, Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Informações sobre disponibilidade de versão impressa",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Falta de adesão dos usuários, Questões de direitos autorais",Sim,Sim,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,Mais de 1000,Sim,5,
Nenhum,Nunca utilizei,Estudo individual,Falta de conhecimento sobre bibliotecas digitais,Artigos científicos,Acesso gratuito,Download para leitura offline,Sim,Sim,Não,Falta de adesão dos usuários,Sim,Não,Menos de 50,Não,Não utilizo nenhum sistema específico,Sim,Sim,Menos de 100,Não,3,
Nenhum,Utilizo ocasionalmente sem dificuldades,"Pesquisa acadêmica, Ensino e planejamento de aulas",Nunca tive dificuldades,"Livros digitais (e-books), Artigos científicos, Teses e dissertações","Ferramenta de busca avançada, Área personalizada para salvar favoritos e anotações",Download para leitura offline,Sim,Sim,"Sim, caso houvesse um processo de submissão aberto","Dificuldade na manutenção da plataforma, Questões de direitos autorais",Sim,Sim,Mais de 200,Não,Não utilizo nenhum sistema específico,Talvez,Sim,,,5,
Amiga de aluna,Nunca utilizei,"Estudo individual, Desenvolvimento profissional",Nunca utilizei uma biblioteca digital para opinar,"Livros digitais (e-books), Artigos científicos, Eu buscaria, pois nunca acessai uma ","Ferramenta de busca avançada, Opção de download em diferentes formatos (PDF, EPUB, etc.), Integração com ferramentas externas (Google Drive, OneDrive), Suporte para acessibilidade (leitor de tela, alto contraste)",Download para leitura offline,Sim,Sim,Não,"Falta de adesão dos usuários, Dificuldade de navegação e usabilidade",Sim,Sim,Mais de 200,Sim,Catalogação manual (papel e caneta),Talvez,Sim,,,5,Organizar e facilitar a busca.
